Designator,Mid X,Mid Y,Layer,Rotation
C1,-56.82,26.086,top,90
C2,-56.82,29.134,top,90
C3,-53.645,37.516,top,-90
C4,-53.645,40.564,top,90
C6,-41.837258,31.53504,top,0
C7,-42.85,48.184,top,90
C8,-38.913,47.549,top,0
C9,-37.389,36.627,top,-90
C10,-39.04,45.263,top,90
C11,-41.960867,32.995916,top,0
C12,-37.516,42.215,top,90
C13,-37.516,45.263,top,90
C14,-48.692,43.612,top,180
C15,-50.47,37.897,top,180
C16,-80,58,top,-90
C17,-38,64,top,180
C100,-59.36,26.1,top,90
C200,-45.517,31.801,top,180
C300,-40.62968,29.060988,top,-90
C400,-59.36,29.148,top,90
C500,-42.469,45.136,top,90
D1,-79.68,66.726,top,180
D2,-79.68,64.186,top,180
D3,-42.5,66.726,top,180
D4,-42.5,64.186,top,180
D5,-42.5,61.646,top,180
D6,-42.5,59.106,top,180
D7,-50.216,57.074,top,90
D8,-47.676,57.074,top,90
D9,-79.426,41.58,top,0
D10,-74.6,41.58,top,180
D11,-79.426,39.04,top,0
D12,-74.6,39.04,top,180
LED1,-38.8,60.3,top,0
LED2,-83.3,59,top,90
R1,-67.615,45.771,top,90
R3,-41.326,48.184,top,-90
R4,-40.691,45.136,top,-90
R40,-67.742,38.786,top,-90
R100,-52.375,51.105,top,0
R200,-52.375,52.629,top,180
R500,-39.167,30.277,top,-90
U1,-51.486,27.61,top,0
U3,-42.845,38.791,top,0
U4,-49.073,47.422,top,180
U10,-64.592,27.624,top,0
Y1,-43.485,29.007,top,0
